name,countryCode3,gender,HPI
Abraham Lincoln,USA,Male,27.93858549
Aristotle,GRC,Male,31.99379508
Ayn Rand,RUS,Female,24.32593556
Andre Agassi,USA,Male,20.92599929
Aldous Huxley,GBR,Male,25.99660548
Andrei Tarkovsky,RUS,Male,25.24470117
Arthur Schopenhauer,POL,Male,27.7760199
Albert Einstein,DEU,Male,30.21061426
Alexander the Great,GRC,Male,31.58395203
Alfred Hitchcock,GBR,Male,27.17598213
Attila the Hun,HUN,Male,29.24332716
Alfred Nobel,SWE,Male,27.64615987
Alexander Graham Bell,GBR,Male,26.92276279
Andy Warhol,USA,Male,27.91983828
Alp Arslan,UNK,Male,25.74359669
Akira Kurosawa,JPN,Male,26.23577062
Anna Kournikova,RUS,Female,18.37364131
Andrey Markov,RUS,Male,22.28780154
A. A. Milne,GBR,Male,23.13392116
Melvil Dewey,USA,Male,22.4538746
Albert Speer,DEU,Male,25.99869344
Ada Lovelace,GBR,Female,24.19188341
Albert Camus,DZA,Male,26.68507129
Agatha Christie,GBR,Female,27.09011545
Aaron,EGY,Male,27.60209372
Allen Ginsberg,USA,Male,24.90590029
Anatoly Karpov,RUS,Male,22.97518017
Aristophanes,GRC,Male,28.72133392
Albert Schweitzer,FRA,Male,26.49885332
Alexis Carrel,FRA,Male,24.22920885
Anatole France,FRA,Male,26.31231176
André Gide,FRA,Male,26.52855152
Avicenna,UZB,Male,28.89172648
Augustin-Jean Fresnel,FRA,Male,24.88926142
Anaximander,TUR,Male,28.12119429
Aleister Crowley,GBR,Male,26.74577909
Alan Turing,GBR,Male,24.98917589
Alexander Mackenzie,GBR,Male,19.04029498
Ashoka,IND,Male,26.73672242
Alfonso Cuarón,MEX,Male,18.87219943
Antoninus Pius,ITA,Male,27.77668848
Augustus,ITA,Male,30.41951894
André-Marie Ampère,FRA,Male,26.77275072
Ambrose,DEU,Male,26.86852989
Ahab,ISR,Male,25.27555813
Alcuin,GBR,Male,25.82465838
Antonio Vivaldi,ITA,Male,27.8898214
Abraham,,Male,30.60465403
Absalom,PSE,Male,26.11354202
Alfred Russel Wallace,GBR,Male,25.03659519
"Albert I, Duke of Prussia",DEU,Male,23.04134854
Ahmed I,TUR,Male,24.96249107
Ahmed II,TUR,Male,24.41043518
Ahmed III,BGR,Male,24.55621575
Agesilaus II,GRC,Male,25.1741122
Agrippina the Younger,DEU,Female,26.37543304
Ahmed Shah Abdali,AFG,Male,22.49586619
Alaric I,ROU,Male,26.82538974
Alaric II,ROU,Male,25.07184306
Albertus Magnus,DEU,Male,26.75354666
Alboin,HUN,Male,23.92192554
Afonso de Albuquerque,PRT,Male,24.36005082
Alcaeus,GRC,Male,25.98267397
Alexander Balas,TUR,Male,24.17935199
Alexander II of Russia,RUS,Male,26.18597625
Alexander III of Russia,RUS,Male,25.89702144
Alexander I of Scotland,GBR,Male,22.69274299
Alexander II of Scotland,GBR,Male,22.4732365
Alexander I of Serbia,SRB,Male,22.56057841
Alexander III of Scotland,GBR,Male,22.56296824
Alexander Severus,LBN,Male,26.62963749
Alexios I Komnenos,TUR,Male,25.74453467
Alexios II Komnenos,TUR,Male,24.20252808
Alexios III Angelos,TUR,Male,24.3554065
Alexios V,UNK,Male,23.86092511
Andrew Jackson,USA,Male,25.35508721
Andrew Johnson,USA,Male,25.03865625
Aleksandr Solzhenitsyn,RUS,Male,25.3365328
Alfred the Great,GBR,Male,26.49813804
Ibn al-Haitham,IRQ,Male,25.19514353
Alyattes II,UNK,Male,24.27789086
Amalasuntha,ITA,Female,24.89229701
Afonso I of Portugal,PRT,Male,25.74083248
Afonso II of Portugal,PRT,Male,24.21310801
Afonso III of Portugal,PRT,Male,24.15942763
Afonso IV of Portugal,PRT,Male,24.05310877
Afonso V of Portugal,PRT,Male,23.56300313
Alfonso XII of Spain,ESP,Male,24.27946034
Alfonso XIII of Spain,ESP,Male,24.86073526
Alfonso V of Aragon,ESP,Male,24.2044769
Ambiorix,BEL,Male,24.50953511
Abu Bakr,SAU,Male,27.20399014
Ananda,UNK,Male,25.9022039
Anaxagoras,TUR,Male,27.8563984
Anaximenes of Miletus,TUR,Male,27.36729233
Ancus Marcius,ITA,Male,26.24905903
Andrew II of Hungary,HUN,Male,24.3764208
Andronikos III Palaiologos,TUR,Male,24.32138989
Andronikos II Palaiologos,TUR,Male,24.5234321
Andronikos I Komnenos,TUR,Male,24.91866652
Ammianus Marcellinus,TUR,Male,26.39929066
Apuleius,DZA,Male,26.85517022
Alexander Selkirk,GBR,Male,23.82673521
Arnold Schwarzenegger,AUT,Male,26.93705727
Adam Smith,GBR,Male,29.01054945
Antoine Lavoisier,FRA,Male,27.11173497
Amitabh Bachchan,IND,Male,23.07584302
Agathocles of Syracuse,ITA,Male,24.21790548
Augustin Louis Cauchy,FRA,Male,25.48861979
Archimedes,ITA,Male,30.99069732
Alfred Jarry,FRA,Male,24.35812157
Anthemius of Tralles,TUR,Male,23.74399411
Alessandro Volta,ITA,Male,27.34572591
Alexander Fleming,GBR,Male,26.88210337
Andrew Carnegie,GBR,Male,23.8708565
Abel Tasman,NLD,Male,25.94326955
Alvar Aalto,FIN,Male,26.34853864
A.J. Ayer,GBR,Male,21.9843251
Atle Selberg,NOR,Male,22.59187258
Aeschylus,GRC,Male,29.09962779
Andrew Wiles,GBR,Male,22.12957571
Anne Brontë,GBR,Female,24.41483622
Augustine of Hippo,DZA,Male,29.8872383
Alexander Grothendieck,DEU,Male,22.49068801
Amerigo Vespucci,ITA,Male,27.50074308
Aristide Maillol,FRA,Male,23.374427
Antonio Canova,ITA,Male,25.6678512
Auguste Rodin,FRA,Male,25.18118327
Adam Weishaupt,DEU,Male,23.93439762
Adalbert of Prague,CZE,Male,24.84646451
Joseph Henry,USA,Male,23.50731249
Anton Drexler,DEU,Male,23.11464582
Ahmed Shah Massoud,AFG,Male,22.32674999
Arcadius,ESP,Male,26.68381151
Aage Niels Bohr,DNK,Male,23.07579395
Antipope John XXIII,ITA,Male,21.90064061
Antonio Salieri,ITA,Male,26.37723755
Arthur Stanley Eddington,GBR,Male,23.4465988
Paul Krugman,USA,Male,21.96687857
Antipope Felix II,UNK,Male,22.62300393
Alessandro Scarlatti,ITA,Male,25.44008727
Alois Alzheimer,DEU,Male,24.77409335
Akio Morita,JPN,Male,23.32119806
Anthony Hopkins,GBR,Male,26.31669692
Albrecht Dürer,DEU,Male,28.81835925
Alban Berg,AUT,Male,25.29831996
Aurangzeb,IND,Male,22.68873712
Alberto Giacometti,CHE,Male,24.2742091
Albrecht Altdorfer,DEU,Male,24.87889959
Anton Chekhov,RUS,Male,27.95507799
"Arnulf of Carinthia, Holy Roman Emperor",UNK,Male,25.8183102
Alexander Kerensky,RUS,Male,24.80718575
Ansgar,FRA,Male,23.81485145
Adam of Bremen,DEU,Male,25.14425463
André the Giant,FRA,Male,22.77082745
Abbas II of Egypt,EGY,Male,22.8172948
Abd ar-Rahman I,ISR,Male,25.17878454
Abd-ar-Rahman III,ESP,Male,24.73699913
Abdülâziz,TUR,Male,24.41653475
‘Abdu’l-Hamid I,TUR,Male,24.675221
Abdur Rahman Khan,AFG,Male,22.02934996
Anders Celsius,SWE,Male,26.70446258
Andrei Sakharov,RUS,Male,25.06881432
Aron Nimzowitsch,LVA,Male,22.98867474
Aung San Suu Kyi,MMR,Female,24.85515312
"Archduke Charles, Duke of Teschen",ITA,Male,23.72577346
Augustine of Canterbury,ITA,Male,24.50968059
Amr Diab,EGY,Male,20.61639628
Anaïs Nin,FRA,Female,24.08920242
Ariel Sharon,ISR,Male,26.03475525
Alexey Pazhitnov,RUS,Male,19.00383388
`Abdu'l-Bahá,IRN,Male,21.57294832
Akira Toriyama,JPN,Male,23.43309315
Alec Baldwin,USA,Male,22.56023633
Adolphe Sax,BEL,Male,24.93354628
Kirk Douglas,USA,Male,25.37223593
Athanasius of Alexandria,EGY,Male,25.99202469
Anthony the Great,EGY,Male,26.57172624
Bill Clinton,USA,Male,26.27300621
Britney Spears,USA,Female,22.19322186
Gautama Buddha,NPL,Male,30.04180984
Baruch Spinoza,NLD,Male,28.01430167
Bjarne Stroustrup,DNK,Male,22.11056392
Björn Ulvaeus,SWE,Male,23.94930094
Benny Andersson,SWE,Male,23.96603271
Bill Gates,USA,Male,26.34771663
